heuristica,n,m,alfa,rep,total_movimentos,pioras_propostas,pioras_aceitas,taxa_aceitacao
temperasimulada,89,20,0.90,8,110,51,51,100.00
temperasimulada,89,20,0.90,9,110,54,54,100.00
temperasimulada,89,20,0.90,10,110,55,55,100.00
temperasimulada,89,20,0.95,1,225,93,93,100.00
temperasimulada,89,20,0.95,2,225,96,96,100.00
temperasimulada,89,20,0.95,3,225,105,105,100.00
temperasimulada,89,20,0.95,4,225,95,95,100.00
temperasimulada,89,20,0.95,5,225,97,97,100.00
temperasimulada,89,20,0.95,6,225,100,100,100.00
temperasimulada,89,20,0.95,7,225,94,94,100.00
temperasimulada,89,20,0.95,8,225,102,102,100.00
temperasimulada,89,20,0.95,9,225,101,101,100.00
temperasimulada,89,20,0.95,10,225,104,104,100.00
temperasimulada,89,20,0.99,1,1146,533,533,100.00
temperasimulada,89,20,0.99,2,1146,510,510,100.00
temperasimulada,89,20,0.99,3,1146,499,499,100.00
temperasimulada,89,20,0.99,4,1146,491,491,100.00
temperasimulada,89,20,0.99,5,1146,523,523,100.00
temperasimulada,89,20,0.99,6,1146,492,492,100.00
temperasimulada,89,20,0.99,7,1146,480,480,100.00
temperasimulada,89,20,0.99,8,1146,490,490,100.00
temperasimulada,89,20,0.99,9,1146,499,499,100.00
temperasimulada,89,20,0.99,10,1146,532,532,100.00
temperasimulada,400,20,0.80,1,52,16,16,100.00
temperasimulada,400,20,0.80,2,52,15,15,100.00
temperasimulada,400,20,0.80,3,52,19,19,100.00
temperasimulada,400,20,0.80,4,52,20,20,100.00
temperasimulada,400,20,0.80,5,52,18,18,100.00
temperasimulada,400,20,0.80,6,52,16,16,100.00
temperasimulada,400,20,0.80,7,52,24,24,100.00
temperasimulada,400,20,0.80,8,52,19,19,100.00
temperasimulada,400,20,0.80,9,52,17,17,100.00
temperasimulada,400,20,0.80,10,52,21,21,100.00
temperasimulada,400,20,0.85,1,71,26,26,100.00
temperasimulada,400,20,0.85,2,71,28,28,100.00
temperasimulada,400,20,0.85,3,71,30,30,100.00
temperasimulada,400,20,0.85,4,71,31,31,100.00
temperasimulada,400,20,0.85,5,71,28,28,100.00
temperasimulada,400,20,0.85,6,71,25,25,100.00
temperasimulada,400,20,0.85,7,71,26,26,100.00
temperasimulada,400,20,0.85,8,71,24,24,100.00
temperasimulada,400,20,0.85,9,71,24,24,100.00
temperasimulada,400,20,0.85,10,71,24,24,100.00
temperasimulada,400,20,0.90,1,110,43,43,100.00
temperasimulada,400,20,0.90,2,110,40,40,100.00
temperasimulada,400,20,0.90,3,110,49,49,100.00
temperasimulada,400,20,0.90,4,110,42,42,100.00
temperasimulada,400,20,0.90,5,110,40,40,100.00
temperasimulada,400,20,0.90,6,110,40,40,100.00
temperasimulada,400,20,0.90,7,110,44,44,100.00
temperasimulada,400,20,0.90,8,110,43,43,100.00
temperasimulada,400,20,0.90,9,110,43,43,100.00
temperasimulada,400,20,0.90,10,110,43,43,100.00
temperasimulada,400,20,0.95,1,225,95,95,100.00
temperasimulada,400,20,0.95,2,225,96,96,100.00
temperasimulada,400,20,0.95,3,225,96,96,100.00
temperasimulada,400,20,0.95,4,225,95,95,100.00
temperasimulada,400,20,0.95,5,225,105,105,100.00
temperasimulada,400,20,0.95,6,225,93,93,100.00
temperasimulada,400,20,0.95,7,225,96,96,100.00
temperasimulada,400,20,0.95,8,225,91,91,100.00
temperasimulada,400,20,0.95,9,225,90,90,100.00
temperasimulada,400,20,0.95,10,225,94,94,100.00
temperasimulada,400,20,0.99,1,1146,485,485,100.00
temperasimulada,400,20,0.99,2,1146,486,486,100.00
temperasimulada,400,20,0.99,3,1146,483,483,100.00
temperasimulada,400,20,0.99,4,1146,537,537,100.00
temperasimulada,400,20,0.99,5,1146,540,540,100.00
temperasimulada,400,20,0.99,6,1146,498,498,100.00
temperasimulada,400,20,0.99,7,1146,522,522,100.00
temperasimulada,400,20,0.99,8,1146,497,497,100.00
temperasimulada,400,20,0.99,9,1146,537,537,100.00
temperasimulada,400,20,0.99,10,1146,492,492,100.00
temperasimulada,354,50,0.80,1,52,23,23,100.00
temperasimulada,354,50,0.80,2,52,21,21,100.00
temperasimulada,354,50,0.80,3,52,21,21,100.00
temperasimulada,354,50,0.80,4,52,22,22,100.00
temperasimulada,354,50,0.80,5,52,17,17,100.00
temperasimulada,354,50,0.80,6,52,21,21,100.00
temperasimulada,354,50,0.80,7,52,18,18,100.00
temperasimulada,354,50,0.80,8,52,17,17,100.00
temperasimulada,354,50,0.80,9,52,17,17,100.00
temperasimulada,354,50,0.80,10,52,17,17,100.00
temperasimulada,354,50,0.85,1,71,31,31,100.00
temperasimulada,354,50,0.85,2,71,29,29,100.00
temperasimulada,354,50,0.85,3,71,24,24,100.00
temperasimulada,354,50,0.85,4,71,28,28,100.00
temperasimulada,354,50,0.85,5,71,28,28,100.00
temperasimulada,354,50,0.85,6,71,29,29,100.00
temperasimulada,354,50,0.85,7,71,27,27,100.00
temperasimulada,354,50,0.85,8,71,32,32,100.00
temperasimulada,354,50,0.85,9,71,23,23,100.00
temperasimulada,354,50,0.85,10,71,23,23,100.00
temperasimulada,354,50,0.90,1,110,48,48,100.00
temperasimulada,354,50,0.90,2,110,41,41,100.00
temperasimulada,354,50,0.90,3,110,51,51,100.00
temperasimulada,354,50,0.90,4,110,46,46,100.00
temperasimulada,354,50,0.90,5,110,45,45,100.00
temperasimulada,354,50,0.90,6,110,41,41,100.00
temperasimulada,354,50,0.90,7,110,52,52,100.00
temperasimulada,354,50,0.90,8,110,50,50,100.00
temperasimulada,354,50,0.90,9,110,54,54,100.00
temperasimulada,354,50,0.90,10,110,43,43,100.00
temperasimulada,354,50,0.95,1,225,92,92,100.00
temperasimulada,354,50,0.95,2,225,91,91,100.00
temperasimulada,354,50,0.95,3,225,92,92,100.00
temperasimulada,354,50,0.95,4,225,86,86,100.00
temperasimulada,354,50,0.95,5,225,104,104,100.00
temperasimulada,354,50,0.95,6,225,85,85,100.00
temperasimulada,354,50,0.95,7,225,89,89,100.00
temperasimulada,354,50,0.95,8,225,104,104,100.00
temperasimulada,354,50,0.95,9,225,102,102,100.00
temperasimulada,354,50,0.95,10,225,101,101,100.00
temperasimulada,354,50,0.99,1,1146,447,447,100.00
temperasimulada,354,50,0.99,2,1146,446,446,100.00
temperasimulada,354,50,0.99,3,1146,472,472,100.00
temperasimulada,354,50,0.99,4,1146,467,467,100.00
temperasimulada,354,50,0.99,5,1146,436,436,100.00
temperasimulada,354,50,0.99,6,1146,429,429,100.00
temperasimulada,354,50,0.99,7,1146,514,514,100.00
temperasimulada,354,50,0.99,8,1146,448,448,100.00
temperasimulada,354,50,0.99,9,1146,512,512,100.00
temperasimulada,354,50,0.99,10,1146,443,443,100.00
temperasimulada,2500,50,0.80,1,52,16,16,100.00
temperasimulada,2500,50,0.80,2,52,12,12,100.00
temperasimulada,2500,50,0.80,3,52,14,14,100.00
temperasimulada,2500,50,0.80,4,52,18,18,100.00
temperasimulada,2500,50,0.80,5,52,13,13,100.00
temperasimulada,2500,50,0.80,6,52,14,14,100.00
temperasimulada,2500,50,0.80,7,52,16,16,100.00
temperasimulada,2500,50,0.80,8,52,18,18,100.00
temperasimulada,2500,50,0.80,9,52,14,14,100.00
temperasimulada,2500,50,0.80,10,52,18,18,100.00
temperasimulada,2500,50,0.85,1,71,28,28,100.00
temperasimulada,2500,50,0.85,2,71,29,29,100.00
temperasimulada,2500,50,0.85,3,71,24,24,100.00
temperasimulada,2500,50,0.85,4,71,20,20,100.00
temperasimulada,2500,50,0.85,5,71,26,26,100.00
temperasimulada,2500,50,0.85,6,71,22,22,100.00
temperasimulada,2500,50,0.85,7,71,26,26,100.00
temperasimulada,2500,50,0.85,8,71,22,22,100.00
temperasimulada,2500,50,0.85,9,71,24,24,100.00
temperasimulada,2500,50,0.85,10,71,27,27,100.00
temperasimulada,2500,50,0.90,1,110,38,38,100.00
temperasimulada,2500,50,0.90,2,110,40,40,100.00
temperasimulada,2500,50,0.90,3,110,41,41,100.00
temperasimulada,2500,50,0.90,4,110,37,37,100.00
temperasimulada,2500,50,0.90,5,110,37,37,100.00
temperasimulada,2500,50,0.90,6,110,39,39,100.00
temperasimulada,2500,50,0.90,7,110,28,28,100.00
temperasimulada,2500,50,0.90,8,110,44,44,100.00
temperasimulada,2500,50,0.90,9,110,38,38,100.00
temperasimulada,2500,50,0.90,10,110,30,30,100.00
temperasimulada,2500,50,0.95,1,225,84,84,100.00
temperasimulada,2500,50,0.95,2,225,88,88,100.00
temperasimulada,2500,50,0.95,3,225,85,85,100.00
temperasimulada,2500,50,0.95,4,225,87,87,100.00
temperasimulada,2500,50,0.95,5,225,92,92,100.00
temperasimulada,2500,50,0.95,6,225,87,87,100.00
temperasimulada,2500,50,0.95,7,225,88,88,100.00
temperasimulada,2500,50,0.95,8,225,85,85,100.00
temperasimulada,2500,50,0.95,9,225,86,86,100.00
temperasimulada,2500,50,0.95,10,225,89,89,100.00
temperasimulada,2500,50,0.99,1,1146,450,450,100.00
temperasimulada,2500,50,0.99,2,1146,460,460,100.00
temperasimulada,2500,50,0.99,3,1146,457,457,100.00
temperasimulada,2500,50,0.99,4,1146,465,465,100.00
temperasimulada,2500,50,0.99,5,1146,454,454,100.00
temperasimulada,2500,50,0.99,6,1146,463,463,100.00
temperasimulada,2500,50,0.99,7,1146,442,442,100.00
temperasimulada,2500,50,0.99,8,1146,467,467,100.00
temperasimulada,2500,50,0.99,9,1146,448,448,100.00
temperasimulada,2500,50,0.99,10,1146,466,466,100.00
