n,m,alfa,rep,mlr_cmax,sa_cmax,mlr_tempo,sa_tempo,diff_pct_cmax,diff_pct_tempo,winner_qualidade,winner_tempo
400,20,0.90,7,1352,1084,0.0,0.00019,-19.82,0.0,SA,MLR
400,20,0.90,8,10309,1130,0.0,0.00019,-89.04,0.0,SA,MLR
400,20,0.90,9,10614,1167,0.0,0.00021,-89.01,0.0,SA,MLR
400,20,0.90,10,4761,1160,0.0,0.00021,-75.64,0.0,SA,MLR
400,20,0.95,1,10282,1111,0.0,0.0004,-89.19,0.0,SA,MLR
400,20,0.95,2,10513,1087,0.0,0.00038,-89.66,0.0,SA,MLR
400,20,0.95,3,2596,1073,0.0,0.00038,-58.67,0.0,SA,MLR
400,20,0.95,4,10465,1025,0.0,0.00041,-90.21,0.0,SA,MLR
400,20,0.95,5,9942,1092,0.0,0.00038,-89.02,0.0,SA,MLR
400,20,0.95,6,10513,1141,0.0,0.00043,-89.15,0.0,SA,MLR
400,20,0.95,7,1352,1132,0.0,0.00042,-16.27,0.0,SA,MLR
400,20,0.95,8,10309,1119,0.0,0.00039,-89.15,0.0,SA,MLR
400,20,0.95,9,10614,1092,0.0,0.00042,-89.71,0.0,SA,MLR
400,20,0.95,10,4761,1059,0.0,0.00038,-77.76,0.0,SA,MLR
400,20,0.99,1,10282,1056,0.0,0.00203,-89.73,0.0,SA,MLR
400,20,0.99,2,10513,1109,0.0,0.00211,-89.45,0.0,SA,MLR
400,20,0.99,3,2596,1133,0.0,0.0021,-56.36,0.0,SA,MLR
400,20,0.99,4,10465,1082,0.0,0.00202,-89.66,0.0,SA,MLR
400,20,0.99,5,9942,1062,0.0,0.00207,-89.32,0.0,SA,MLR
400,20,0.99,6,10513,1021,0.0,0.00203,-90.29,0.0,SA,MLR
400,20,0.99,7,1352,1079,0.0,0.00207,-20.19,0.0,SA,MLR
400,20,0.99,8,10309,1069,0.0,0.00203,-89.63,0.0,SA,MLR
400,20,0.99,9,10614,1046,0.0,0.00203,-90.15,0.0,SA,MLR
400,20,0.99,10,4761,1129,0.0,0.00211,-76.29,0.0,SA,MLR
354,50,0.80,1,603,741,0.0,0.00022,22.89,0.0,MLR,MLR
354,50,0.80,2,9403,626,0.0,0.00022,-93.34,0.0,SA,MLR
354,50,0.80,3,8995,564,0.0,0.00024,-93.73,0.0,SA,MLR
354,50,0.80,4,4684,732,0.0,0.00024,-84.37,0.0,SA,MLR
354,50,0.80,5,9058,521,0.0,0.00023,-94.25,0.0,SA,MLR
354,50,0.80,6,8700,695,0.0,0.00022,-92.01,0.0,SA,MLR
354,50,0.80,7,9370,677,0.0,0.00024,-92.77,0.0,SA,MLR
354,50,0.80,8,4731,548,0.0,0.00024,-88.42,0.0,SA,MLR
354,50,0.80,9,9087,603,0.0,0.00024,-93.36,0.0,SA,MLR
354,50,0.80,10,9301,593,0.0,0.00024,-93.62,0.0,SA,MLR
354,50,0.85,1,603,730,0.0,0.00033,21.06,0.0,MLR,MLR
354,50,0.85,2,9403,679,0.0,0.00033,-92.78,0.0,SA,MLR
354,50,0.85,3,8995,483,0.0,0.00032,-94.63,0.0,SA,MLR
354,50,0.85,4,4684,552,0.0,0.00033,-88.22,0.0,SA,MLR
354,50,0.85,5,9058,530,0.0,0.00032,-94.15,0.0,SA,MLR
354,50,0.85,6,8700,590,0.0,0.00032,-93.22,0.0,SA,MLR
354,50,0.85,7,9370,497,0.0,0.00033,-94.7,0.0,SA,MLR
354,50,0.85,8,4731,832,0.0,0.00033,-82.41,0.0,SA,MLR
354,50,0.85,9,9087,486,0.0,0.00032,-94.65,0.0,SA,MLR
354,50,0.85,10,9301,489,0.0,0.00029,-94.74,0.0,SA,MLR
354,50,0.90,1,603,641,0.0,0.00049,6.3,0.0,MLR,MLR
354,50,0.90,2,9403,616,0.0,0.00045,-93.45,0.0,SA,MLR
354,50,0.90,3,8995,861,0.0,0.00046,-90.43,0.0,SA,MLR
354,50,0.90,4,4684,723,0.0,0.00048,-84.56,0.0,SA,MLR
354,50,0.90,5,9058,566,0.0,0.00046,-93.75,0.0,SA,MLR
354,50,0.90,6,8700,511,0.0,0.00048,-94.13,0.0,SA,MLR
354,50,0.90,7,9370,835,0.0,0.00047,-91.09,0.0,SA,MLR
354,50,0.90,8,4731,780,0.0,0.00045,-83.51,0.0,SA,MLR
354,50,0.90,9,9087,684,0.0,0.0005,-92.47,0.0,SA,MLR
354,50,0.90,10,9301,606,0.0,0.00045,-93.48,0.0,SA,MLR
354,50,0.95,1,603,757,0.0,0.00095,25.54,0.0,MLR,MLR
354,50,0.95,2,9403,429,0.0,0.00093,-95.44,0.0,SA,MLR
354,50,0.95,3,8995,455,0.0,0.00091,-94.94,0.0,SA,MLR
354,50,0.95,4,4684,511,0.0,0.00098,-89.09,0.0,SA,MLR
354,50,0.95,5,9058,729,0.0,0.00102,-91.95,0.0,SA,MLR
354,50,0.95,6,8700,742,0.0,0.00099,-91.47,0.0,SA,MLR
354,50,0.95,7,9370,418,0.0,0.00097,-95.54,0.0,SA,MLR
354,50,0.95,8,4731,819,0.0,0.00098,-82.69,0.0,SA,MLR
354,50,0.95,9,9087,657,0.0,0.00094,-92.77,0.0,SA,MLR
354,50,0.95,10,9301,589,0.0,0.00098,-93.67,0.0,SA,MLR
354,50,0.99,1,603,491,0.0,0.00492,-18.57,0.0,SA,MLR
354,50,0.99,2,9403,457,0.0,0.00505,-95.14,0.0,SA,MLR
354,50,0.99,3,8995,460,0.0,0.00519,-94.89,0.0,SA,MLR
354,50,0.99,4,4684,461,0.0,0.0051,-90.16,0.0,SA,MLR
354,50,0.99,5,9058,520,0.0,0.00522,-94.26,0.0,SA,MLR
354,50,0.99,6,8700,468,0.0,0.00481,-94.62,0.0,SA,MLR
354,50,0.99,7,9370,662,0.0,0.00498,-92.93,0.0,SA,MLR
354,50,0.99,8,4731,400,0.0,0.00488,-91.55,0.0,SA,MLR
354,50,0.99,9,9087,828,0.0,0.00517,-90.89,0.0,SA,MLR
354,50,0.99,10,9301,486,0.0,0.0049,-94.77,0.0,SA,MLR
