heuristica,n,m,replicacao,tempo,iteracoes,valor,parametro
temperasimulada,100,10,10,0.00028,225,554,0.95
temperasimulada,100,10,1,0.00147,1146,542,0.99
temperasimulada,100,10,2,0.00137,1146,516,0.99
temperasimulada,100,10,3,0.00136,1146,525,0.99
temperasimulada,100,10,4,0.00134,1146,487,0.99
temperasimulada,100,10,5,0.00139,1146,532,0.99
temperasimulada,100,10,6,0.00161,1146,562,0.99
temperasimulada,100,10,7,0.00180,1146,544,0.99
temperasimulada,100,10,8,0.00185,1146,500,0.99
temperasimulada,100,10,9,0.00187,1146,493,0.99
temperasimulada,100,10,10,0.00184,1146,459,0.99
temperasimulada,89,20,1,0.00019,52,270,0.80
temperasimulada,89,20,2,0.00019,52,338,0.80
temperasimulada,89,20,3,0.00018,52,315,0.80
temperasimulada,89,20,4,0.00018,52,262,0.80
temperasimulada,89,20,5,0.00019,52,309,0.80
temperasimulada,89,20,6,0.00015,52,270,0.80
temperasimulada,89,20,7,0.00015,52,378,0.80
temperasimulada,89,20,8,0.00018,52,381,0.80
temperasimulada,89,20,9,0.00018,52,377,0.80
temperasimulada,89,20,10,0.00016,52,341,0.80
temperasimulada,89,20,1,0.00019,71,289,0.85
temperasimulada,89,20,2,0.00022,71,445,0.85
temperasimulada,89,20,3,0.00025,71,299,0.85
temperasimulada,89,20,4,0.00023,71,360,0.85
temperasimulada,89,20,5,0.00022,71,316,0.85
temperasimulada,89,20,6,0.00023,71,251,0.85
temperasimulada,89,20,7,0.00024,71,354,0.85
temperasimulada,89,20,8,0.00026,71,447,0.85
temperasimulada,89,20,9,0.00024,71,259,0.85
temperasimulada,89,20,10,0.00023,71,300,0.85
temperasimulada,89,20,1,0.00039,110,374,0.90
temperasimulada,89,20,2,0.00036,110,372,0.90
temperasimulada,89,20,3,0.00037,110,252,0.90
temperasimulada,89,20,4,0.00034,110,261,0.90
temperasimulada,89,20,5,0.00035,110,267,0.90
temperasimulada,89,20,6,0.00035,110,279,0.90
temperasimulada,89,20,7,0.00035,110,297,0.90
temperasimulada,89,20,8,0.00029,110,282,0.90
temperasimulada,89,20,9,0.00035,110,269,0.90
temperasimulada,89,20,10,0.00035,110,261,0.90
temperasimulada,89,20,1,0.00070,225,229,0.95
temperasimulada,89,20,2,0.00074,225,278,0.95
temperasimulada,89,20,3,0.00068,225,261,0.95
temperasimulada,89,20,4,0.00069,225,267,0.95
temperasimulada,89,20,5,0.00081,225,246,0.95
temperasimulada,89,20,6,0.00062,225,267,0.95
temperasimulada,89,20,7,0.00075,225,276,0.95
temperasimulada,89,20,8,0.00062,225,267,0.95
temperasimulada,89,20,9,0.00069,225,237,0.95
temperasimulada,89,20,10,0.00065,225,254,0.95
temperasimulada,89,20,1,0.00397,1146,250,0.99
