heuristica,n,m,replicacao,tempo,iteracoes,valor,parametro
temperasimulada,2500,50,2,0.00099,71,2800,0.85
temperasimulada,2500,50,3,0.00103,71,2835,0.85
temperasimulada,2500,50,4,0.00092,71,2802,0.85
temperasimulada,2500,50,5,0.00091,71,2853,0.85
temperasimulada,2500,50,6,0.00093,71,2747,0.85
temperasimulada,2500,50,7,0.00091,71,2730,0.85
temperasimulada,2500,50,8,0.00098,71,2800,0.85
temperasimulada,2500,50,9,0.00091,71,2744,0.85
temperasimulada,2500,50,10,0.00091,71,2747,0.85
temperasimulada,2500,50,1,0.00143,110,2666,0.90
temperasimulada,2500,50,2,0.00147,110,2709,0.90
temperasimulada,2500,50,3,0.00143,110,2719,0.90
temperasimulada,2500,50,4,0.00153,110,2707,0.90
temperasimulada,2500,50,5,0.00139,110,2731,0.90
temperasimulada,2500,50,6,0.00139,110,2733,0.90
temperasimulada,2500,50,7,0.00144,110,2586,0.90
temperasimulada,2500,50,8,0.00146,110,2664,0.90
temperasimulada,2500,50,9,0.00140,110,2821,0.90
temperasimulada,2500,50,10,0.00141,110,2669,0.90
temperasimulada,2500,50,1,0.00286,225,2673,0.95
temperasimulada,2500,50,2,0.00296,225,2687,0.95
temperasimulada,2500,50,3,0.00291,225,2655,0.95
temperasimulada,2500,50,4,0.00292,225,2640,0.95
temperasimulada,2500,50,5,0.00305,225,2688,0.95
temperasimulada,2500,50,6,0.00305,225,2645,0.95
temperasimulada,2500,50,7,0.00302,225,2691,0.95
temperasimulada,2500,50,8,0.00307,225,2694,0.95
temperasimulada,2500,50,9,0.00303,225,2709,0.95
temperasimulada,2500,50,10,0.00299,225,2652,0.95
temperasimulada,2500,50,1,0.01467,1146,2636,0.99
temperasimulada,2500,50,2,0.01471,1146,2596,0.99
temperasimulada,2500,50,3,0.01507,1146,2597,0.99
temperasimulada,2500,50,4,0.01554,1146,2636,0.99
temperasimulada,2500,50,5,0.01538,1146,2714,0.99
temperasimulada,2500,50,6,0.01579,1146,2583,0.99
temperasimulada,2500,50,7,0.01578,1146,2619,0.99
temperasimulada,2500,50,8,0.01524,1146,2672,0.99
temperasimulada,2500,50,9,0.01501,1146,2683,0.99
temperasimulada,2500,50,10,0.01508,1146,2639,0.99
